Modelo,Técnica,Accuracy,Precision (2),Recall (2),F1-score (2),Precision (4),Recall (4),F1-score (4),Dataset,Precision (1),Recall (1),F1-score (1),Precision (3),Recall (3),F1-score (3),Precision (5),Recall (5),F1-score (5),Precision (6),Recall (6),F1-score (6),Precision (7),Recall (7),F1-score (7)
RandomForest,BorderlineSMOTE,0.99250936329588,1.0,0.984375,0.9921259842519684,0.9858156028368794,1.0,0.9928571428571428,breast+cancer+wisconsin+original,,,,,,,,,,,,,,,
LogisticRegression,SMOTE,0.9700374531835206,0.9545454545454546,0.984375,0.9692307692307692,0.9851851851851852,0.9568345323741008,0.9708029197080292,breast+cancer+wisconsin+original,,,,,,,,,,,,,,,
LogisticRegression,ADASYN,0.9849056603773584,1.0,0.9689922480620154,0.984251968503937,0.9714285714285714,1.0,0.9855072463768116,breast+cancer+wisconsin+original,,,,,,,,,,,,,,,
LogisticRegression,BorderlineSMOTE,0.9850187265917604,1.0,0.96875,0.984126984126984,0.972027972027972,1.0,0.9858156028368794,breast+cancer+wisconsin+original,,,,,,,,,,,,,,,
KNN,SMOTE,0.9812734082397004,0.9767441860465116,0.984375,0.980544747081712,0.9855072463768116,0.9784172661870504,0.9819494584837544,breast+cancer+wisconsin+original,,,,,,,,,,,,,,,
KNN,ADASYN,0.981132075471698,1.0,0.9612403100775194,0.9802371541501976,0.9645390070921984,1.0,0.9819494584837544,breast+cancer+wisconsin+original,,,,,,,,,,,,,,,
KNN,BorderlineSMOTE,0.9887640449438202,1.0,0.9765625,0.9881422924901184,0.9788732394366196,1.0,0.98932384341637,breast+cancer+wisconsin+original,,,,,,,,,,,,,,,
RandomForest,SMOTE,0.9927007299270072,1.0,0.96,0.979591836734694,,,,glass+identification,0.967741935483871,1.0,0.9836065573770492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,ADASYN,0.9928057553956836,1.0,0.9615384615384616,0.9803921568627452,,,,glass+identification,0.9666666666666668,1.0,0.9830508474576272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RandomForest,BorderlineSMOTE,0.9927007299270072,1.0,0.96,0.979591836734694,,,,glass+identification,0.967741935483871,1.0,0.9836065573770492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,SMOTE,0.948905109489051,0.95,0.76,0.8444444444444444,,,,glass+identification,0.935483870967742,0.9666666666666668,0.9508196721311476,0.8235294117647058,1.0,0.9032258064516128,0.9444444444444444,1.0,0.9714285714285714,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,ADASYN,0.9568345323741008,1.0,0.8076923076923077,0.8936170212765957,,,,glass+identification,0.935483870967742,1.0,0.9666666666666668,0.8636363636363636,1.0,0.926829268292683,0.9545454545454546,1.0,0.9767441860465116,1.0,1.0,1.0,1.0,0.9615384615384616,0.9803921568627452
LogisticRegression,BorderlineSMOTE,0.9562043795620438,0.9523809523809524,0.8,0.8695652173913043,,,,glass+identification,0.935483870967742,0.9666666666666668,0.9508196721311476,0.8235294117647058,1.0,0.9032258064516128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN,SMOTE,0.9343065693430656,0.8636363636363636,0.76,0.8085106382978723,,,,glass+identification,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.8125,0.9285714285714286,0.8666666666666667,0.8947368421052632,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,0.9642857142857144,0.9818181818181818
KNN,ADASYN,0.9496402877697842,1.0,0.8076923076923077,0.8936170212765957,,,,glass+identification,0.9666666666666668,1.0,0.9830508474576272,0.9047619047619048,1.0,0.95,0.9130434782608696,1.0,0.9545454545454546,0.9,1.0,0.9473684210526316,1.0,0.9230769230769232,0.96
KNN,BorderlineSMOTE,0.9343065693430656,0.8636363636363636,0.76,0.8085106382978723,,,,glass+identification,0.9666666666666668,0.9666666666666668,0.9666666666666668,0.8,0.8571428571428571,0.8275862068965517,0.8947368421052632,1.0,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,1.0
