dataset,tipo,tecnica,densidad,riesgo,pureza,n_train,n_test,n_features,es_grande,cv_splits,n_iter,modelo,mejor_configuracion,cv_f1_macro,cv_balanced_accuracy,cv_mcc,cv_cohen_kappa,test_f1_macro,test_balanced_accuracy,test_mcc,test_cohen_kappa,search_time_sec,n_jobs_search
wdbc,aumentado,pcsmote,25,75,entropia,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.009832308858067882), 'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__max_samples': np.float64(0.8381076385057229), 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 473}",0.9565196831590346,0.9564505466564963,0.9138525674038214,0.91307767250981,0.9329805996472662,0.9265873015873016,0.8674927968252835,0.8660624370594159,12.094,4
wdbc,aumentado,pcsmote,25,75,proporcion,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.0005808361216819946), 'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8278109655320984), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 543}",0.952487669437985,0.9524739384693618,0.9055720026272299,0.9049956743653056,0.9905276277523889,0.9880952380952381,0.9812328999345131,0.9810568295114656,12.448,4
wdbc,aumentado,pcsmote,50,25,entropia,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.9623378125011914,0.9617137045512332,0.9251687076830857,0.9246906087483721,0.9712773998488284,0.9642857142857143,0.9441549509633318,0.9425981873111783,12.28,4
wdbc,aumentado,pcsmote,50,25,proporcion,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.0005808361216819946), 'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8278109655320984), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 543}",0.9563661320974658,0.9563539282990083,0.9135482770221112,0.9127704985987835,0.9809555629802873,0.9761904761904762,0.962621902223779,0.9619238476953907,13.354,4
wdbc,aumentado,pcsmote,50,50,entropia,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.002912291401980419), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.7022506269873263), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 254}",0.9585419836586959,0.9586727688787186,0.9178602541161751,0.9171195474198282,0.9521289997480473,0.9454365079365079,0.9058238738943076,0.904330312185297,11.85,4
wdbc,aumentado,pcsmote,50,50,proporcion,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.9546769359802566,0.9560513602847699,0.9102008358542198,0.9093869417172812,0.9905276277523889,0.9880952380952381,0.9812328999345131,0.9810568295114656,12.062,4
wdbc,aumentado,pcsmote,50,75,entropia,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.009832308858067882), 'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__max_samples': np.float64(0.8381076385057229), 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 473}",0.9565196831590346,0.9564505466564963,0.9138525674038214,0.91307767250981,0.9329805996472662,0.9265873015873016,0.8674927968252835,0.8660624370594159,12.686,4
wdbc,aumentado,pcsmote,50,75,proporcion,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.0005808361216819946), 'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8278109655320984), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 543}",0.952487669437985,0.9524739384693618,0.9055720026272299,0.9049956743653056,0.9905276277523889,0.9880952380952381,0.9812328999345131,0.9810568295114656,12.993,4
wdbc,aumentado,pcsmote,75,25,entropia,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.9623378125011914,0.9617137045512332,0.9251687076830857,0.9246906087483721,0.9712773998488284,0.9642857142857143,0.9441549509633318,0.9425981873111783,11.791,4
wdbc,aumentado,pcsmote,75,25,proporcion,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.0005808361216819946), 'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8278109655320984), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 543}",0.9563661320974658,0.9563539282990083,0.9135482770221112,0.9127704985987835,0.9809555629802873,0.9761904761904762,0.962621902223779,0.9619238476953907,12.393,4
wdbc,aumentado,pcsmote,75,50,entropia,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.002912291401980419), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.7022506269873263), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 254}",0.9585419836586959,0.9586727688787186,0.9178602541161751,0.9171195474198282,0.9521289997480473,0.9454365079365079,0.9058238738943076,0.904330312185297,12.57,4
wdbc,aumentado,pcsmote,75,50,proporcion,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.9546769359802566,0.9560513602847699,0.9102008358542198,0.9093869417172812,0.9905276277523889,0.9880952380952381,0.9812328999345131,0.9810568295114656,11.908,4
wdbc,aumentado,pcsmote,75,75,entropia,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.009832308858067882), 'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__max_samples': np.float64(0.8381076385057229), 'classifier__min_samples_leaf': 9, 'classifier__min_samples_split': 8, 'classifier__n_estimators': 473}",0.9565196831590346,0.9564505466564963,0.9138525674038214,0.91307767250981,0.9329805996472662,0.9265873015873016,0.8674927968252835,0.8660624370594159,12.054,4
wdbc,aumentado,pcsmote,75,75,proporcion,513,114,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.0005808361216819946), 'classifier__class_weight': None, 'classifier__criterion': 'entropy', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8278109655320984), 'classifier__min_samples_leaf': 5, 'classifier__min_samples_split': 3, 'classifier__n_estimators': 543}",0.952487669437985,0.9524739384693618,0.9055720026272299,0.9049956743653056,0.9905276277523889,0.9880952380952381,0.9812328999345131,0.9810568295114656,12.46,4
glass,base,base,NA,NA,NA,149,65,9,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.6691283159589796,0.7117340067340068,0.6620733099589937,0.6534240877248931,0.7962347257743677,0.8300667126754083,0.7774937851746654,0.7722929936305732,9.738,4
heart,base,base,NA,NA,NA,207,90,13,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.00034388521115218395), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 40, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.8318827995238937), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 7, 'classifier__n_estimators': 253}",0.3913403295273681,0.40474477696216826,0.4098800367660817,0.4014253356058921,0.23536953242835595,0.25037878787878787,0.25933620292429876,0.2557590076786769,10.475,4
shuttle,base,base,NA,NA,NA,40600,17400,9,True,3,5,RandomForest,"{'classifier__ccp_alpha': np.float64(0.002912291401980419), 'classifier__class_weight': 'balanced_subsample', 'classifier__criterion': 'gini', 'classifier__max_depth': 10, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.7022506269873263), 'classifier__min_samples_leaf': 3, 'classifier__min_samples_split': 13, 'classifier__n_estimators': 254}",0.8985225771704654,0.9520564687830423,0.9960009195484748,0.9959931012945388,0.9072469431608265,0.9521185513059934,0.996458850534639,0.9964523972693764,85.903,1
wdbc,base,base,NA,NA,NA,398,171,30,False,5,10,RandomForest,"{'classifier__ccp_alpha': np.float64(0.005467102793432797), 'classifier__class_weight': 'balanced', 'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__max_features': 'log2', 'classifier__max_samples': np.float64(0.87129648817639), 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 11, 'classifier__n_estimators': 469}",0.9385214278406051,0.9398620689655173,0.8814723770889822,0.8774867107112054,0.962044983722995,0.9562646028037383,0.9253191159500114,0.9241348713398403,11.862,4
